,0
0,Bahrain Grand Prix_2023_FP1_Soft
1,Bahrain Grand Prix_2023_FP1_Medium
2,Bahrain Grand Prix_2023_FP1_Hard
3,Bahrain Grand Prix_2023_FP1_Intermediate
4,Bahrain Grand Prix_2023_FP1_Wet
5,Bahrain Grand Prix_2023_FP2_Soft
6,Bahrain Grand Prix_2023_FP2_Medium
7,Bahrain Grand Prix_2023_FP2_Hard
8,Bahrain Grand Prix_2023_FP2_Intermediate
9,Bahrain Grand Prix_2023_FP2_Wet
10,Bahrain Grand Prix_2023_FP3_Soft
11,Bahrain Grand Prix_2023_FP3_Medium
12,Bahrain Grand Prix_2023_FP3_Hard
13,Bahrain Grand Prix_2023_FP3_Intermediate
14,Bahrain Grand Prix_2023_FP3_Wet
15,Bahrain Grand Prix_2023_Q_Soft
16,Bahrain Grand Prix_2023_Q_Medium
17,Bahrain Grand Prix_2023_Q_Hard
18,Bahrain Grand Prix_2023_Q_Intermediate
19,Bahrain Grand Prix_2023_Q_Wet
20,Saudi Arabian Grand Prix_2023_FP1_Soft
21,Saudi Arabian Grand Prix_2023_FP1_Medium
22,Saudi Arabian Grand Prix_2023_FP1_Hard
23,Saudi Arabian Grand Prix_2023_FP1_Intermediate
24,Saudi Arabian Grand Prix_2023_FP1_Wet
25,Saudi Arabian Grand Prix_2023_FP2_Soft
26,Saudi Arabian Grand Prix_2023_FP2_Medium
27,Saudi Arabian Grand Prix_2023_FP2_Hard
28,Saudi Arabian Grand Prix_2023_FP2_Intermediate
29,Saudi Arabian Grand Prix_2023_FP2_Wet
30,Saudi Arabian Grand Prix_2023_FP3_Soft
31,Saudi Arabian Grand Prix_2023_FP3_Medium
32,Saudi Arabian Grand Prix_2023_FP3_Hard
33,Saudi Arabian Grand Prix_2023_FP3_Intermediate
34,Saudi Arabian Grand Prix_2023_FP3_Wet
35,Saudi Arabian Grand Prix_2023_Q_Soft
36,Saudi Arabian Grand Prix_2023_Q_Medium
37,Saudi Arabian Grand Prix_2023_Q_Hard
38,Saudi Arabian Grand Prix_2023_Q_Intermediate
39,Saudi Arabian Grand Prix_2023_Q_Wet
40,Australian Grand Prix_2023_FP1_Soft
41,Australian Grand Prix_2023_FP1_Medium
42,Australian Grand Prix_2023_FP1_Hard
43,Australian Grand Prix_2023_FP1_Intermediate
44,Australian Grand Prix_2023_FP1_Wet
45,Australian Grand Prix_2023_FP2_Soft
46,Australian Grand Prix_2023_FP2_Medium
47,Australian Grand Prix_2023_FP2_Hard
48,Australian Grand Prix_2023_FP2_Intermediate
49,Australian Grand Prix_2023_FP2_Wet
50,Australian Grand Prix_2023_FP3_Soft
51,Australian Grand Prix_2023_FP3_Medium
52,Australian Grand Prix_2023_FP3_Hard
53,Australian Grand Prix_2023_FP3_Intermediate
54,Australian Grand Prix_2023_FP3_Wet
55,Australian Grand Prix_2023_Q_Soft
56,Australian Grand Prix_2023_Q_Medium
57,Australian Grand Prix_2023_Q_Hard
58,Australian Grand Prix_2023_Q_Intermediate
59,Australian Grand Prix_2023_Q_Wet
60,Azerbaijan Grand Prix_2023_FP1_Soft
61,Azerbaijan Grand Prix_2023_FP1_Medium
62,Azerbaijan Grand Prix_2023_FP1_Hard
63,Azerbaijan Grand Prix_2023_FP1_Intermediate
64,Azerbaijan Grand Prix_2023_FP1_Wet
65,Azerbaijan Grand Prix_2023_Q_Soft
66,Azerbaijan Grand Prix_2023_Q_Medium
67,Azerbaijan Grand Prix_2023_Q_Hard
68,Azerbaijan Grand Prix_2023_Q_Intermediate
69,Azerbaijan Grand Prix_2023_Q_Wet
70,Azerbaijan Grand Prix_2023_SS_Soft
71,Azerbaijan Grand Prix_2023_SS_Medium
72,Azerbaijan Grand Prix_2023_SS_Hard
73,Azerbaijan Grand Prix_2023_SS_Intermediate
74,Azerbaijan Grand Prix_2023_SS_Wet
75,Miami Grand Prix_2023_FP1_Soft
76,Miami Grand Prix_2023_FP1_Medium
77,Miami Grand Prix_2023_FP1_Hard
78,Miami Grand Prix_2023_FP1_Intermediate
79,Miami Grand Prix_2023_FP1_Wet
80,Miami Grand Prix_2023_FP2_Soft
81,Miami Grand Prix_2023_FP2_Medium
82,Miami Grand Prix_2023_FP2_Hard
83,Miami Grand Prix_2023_FP2_Intermediate
84,Miami Grand Prix_2023_FP2_Wet
85,Miami Grand Prix_2023_FP3_Soft
86,Miami Grand Prix_2023_FP3_Medium
87,Miami Grand Prix_2023_FP3_Hard
88,Miami Grand Prix_2023_FP3_Intermediate
89,Miami Grand Prix_2023_FP3_Wet
90,Miami Grand Prix_2023_Q_Soft
91,Miami Grand Prix_2023_Q_Medium
92,Miami Grand Prix_2023_Q_Hard
93,Miami Grand Prix_2023_Q_Intermediate
94,Miami Grand Prix_2023_Q_Wet
95,Monaco Grand Prix_2023_FP1_Soft
96,Monaco Grand Prix_2023_FP1_Medium
97,Monaco Grand Prix_2023_FP1_Hard
98,Monaco Grand Prix_2023_FP1_Intermediate
99,Monaco Grand Prix_2023_FP1_Wet
100,Monaco Grand Prix_2023_FP2_Soft
101,Monaco Grand Prix_2023_FP2_Medium
102,Monaco Grand Prix_2023_FP2_Hard
103,Monaco Grand Prix_2023_FP2_Intermediate
